EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9
0.052000000000000005,649584.3370224539,701195.9751634691,774896.9288259316,843770.6049624948,896291.5509087914,971156.6685657913,1020045.3676630005,1073827.9867844991,1147757.9324484908
0.053,660349.0618015821,712057.5493592157,785936.5586113967,855662.412111067,908382.1541325381,983517.9244073225,1033293.9128419583,1087318.5273880723,1161549.7238408069
0.054,670576.2716625253,722408.5393387671,796487.9584618636,866967.9765110555,919900.6738414632,995319.4086817218,1045894.8480470738,1100167.3569874107,1174712.595450442
0.055,680270.5746033292,732254.6378348123,806558.1512453718,877697.4186479343,930857.6648082162,1006572.4061901568,1057861.7164949926,1112388.434798723,1187260.8297777034
0.056,689438.773387212,741603.1909242817,816155.324721959,887862.4286844386,941264.9538946893,1017289.1604606811,1069209.3997588651,1123996.854512448,1199209.5800962436
0.057,698089.6870314142,750463.0539962589,825288.7188414107,897476.0991252481,951135.497515362,1027482.7563999542,1079953.9528099063,1135008.697202013,1210574.7481435873
0.058,706233.9663688797,758844.4464624607,833968.5147348796,906552.7596249932,960483.2424676443,1037167.0071783407,1090112.4439746947,1145440.889635055,1221372.8673841609
0.059000000000000004,713883.9059071223,766758.806495221,842205.7260146849,915107.8151018177,969322.9908533971,1046356.3457001873,1099702.8005704815,1155311.0684856104,1231620.9920616029
0.06,721053.254121379,774218.6469961742,850012.0929374044,923157.5882080669,977670.2697316145,1055065.720954618,1108743.6608790562,1164637.4508656417,1241336.5922047668
0.061,727757.0242074915,781237.4139088838,857399.9799253965,930719.167095525,985541.2060582516,1063310.4994876294,1117254.2330194032,1173438.7115166525,1250537.4547022772
0.062,734011.3071870739,787829.3478921219,864382.2768817677,937810.2592966316,992952.4073861924,1071106.3721839588,1125254.16118141,1181733.8669276203,1259241.590513937
0.063,739833.0891067026,794009.3502690378,870972.3046741622,944449.05242675,999920.8487171893,1078469.2664974171,1132763.3995880992,1189542.1665744851,1267467.148043878
0.064,745240.0739075878,799792.8540626444,877183.7251041123,950654.0822972782,1006463.7658189366,1085415.2642213511,1139802.0944629798,1196882.991409374,1275232.33266017
0.065,750250.5133659352,805195.7008214399,883030.4556215586,956444.1089164474,1012598.5552449041,1091960.5248468227,1146390.4741927993,1203775.7596649039,1282555.3323087187
0.066,754883.045320476,810234.0238320512,888526.588988991,961838.0007452491,1018342.6812226688,1098121.2145151086,1152548.7477947548,1210239.8399805839,1289454.2491357424
0.067,759156.5412158126,814924.1382098879,893686.3180468355,966854.6274710661,1023713.5895087159,1103913.4405333302,1158297.0117215042,1216294.4718046333,1295947.037002883
0.068,763089.963801549,819282.4382551865,898523.8656815824,971512.7614621801,1028728.6282443708,1109353.1913875015,1163655.164967475,1221958.6929756424,1302051.4447520545
0.069,766702.2356406717,823325.3023616611,903053.4200509766,975830.9879731138,1033404.9757890011,1114456.2821560304,1168642.832376192,1227251.2743444245,1307784.9650534252
0.07,770012.118899109,827069.0056692332,907289.0750766204,979827.6240843799,1037759.5754530587,1119238.3051987635,1173279.2959908324,1232190.6612571643,1313164.78864933
0.07100000000000001,773038.1067143381,830529.6405618865,911244.7761737293,983520.6462810925,1041809.0770050887,1123714.585971941,1177583.434238992,1236794.9216865152,1318207.7637893772
0.07200000000000001,775798.3262764823,833723.0450272849,914934.271150666,986927.6265034121,1045569.784783566,1127900.1437979105,1181573.668697726,1241081.700767534,1322930.3606373714
0.073,778310.4536024197,836664.7388170033,918371.0661773382,990065.6764381344,1049057.6122063333,1131809.6574000132,1185267.9181462133,1245068.1814701422,1327348.6404188205
0.074,780591.6398434934,839369.8672754964,921568.3866916089,992951.3997649968,1052288.0424374605,1135457.4349976147,1188683.5595807391,1248771.0511189855,1331478.229068556
0.075,782658.4488416162,841853.1526425747,924539.1430865264,995600.8520234221,1055276.0949434128,1138857.3887436637,1191837.395839912,1252206.4734549592,1335334.295131249
0.076,784526.8055377287,844128.8525783593,927295.900998388,998029.5077253438,1058036.2976473453,1142023.0132773032,1194745.629466842,1255390.0659200149,1338931.531663127
0.077,786211.9547411255,846210.7256115043,929850.8559963374,1000252.2343072197,1060582.6643719384,1144967.3681567404,1197423.8424191654,1258336.8818379624,1342284.1418808883
0.078,787728.4296883133,848112.0031708617,932215.812458231,1002283.2724890646,1062928.6772472365,1147703.0639326822,1199886.9812269157,1261061.3971585375,1345405.8283034314
