EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9,SLF Case 10,SLF Case 11,SLF Case 12,SLF Case 13,SLF Case 14,SLF Case 15
2.3,2108.878936,84781.99762,161163.3315,200359.4261,413046.3472,755338.885,351100.2276,755348.8108,1101624.384,507236.0034,995454.3741,1659959.293,684516.9909,1263506.542,2276651.955
2.35,2108.878936,84812.78421,161212.3902,200408.8819,413149.1246,755512.4971,351175.196,755520.8157,1101624.384,507362.6078,995782.8464,1660551.313,684688.084,1263962.3,2277466.621
2.4,2108.878936,84841.32729,161257.3737,200454.2013,413243.8049,755671.7567,351243.8267,755678.61,1101624.384,507479.4086,996089.1129,1661105.843,684845.7686,1264389.629,2278229.495
2.45,2108.878936,84867.81,161298.6495,200495.7616,413331.0948,755817.9644,351306.7047,755823.4808,1101624.384,507587.2507,996374.8994,1661625.665,684991.2106,1264790.616,2278944.431
2.5,2108.878936,84892.39871,161336.5491,200533.9024,413411.6327,755952.2913,351364.3559,755956.5876,1101624.384,507686.8982,996641.7782,1662113.32,685125.463,1265167.168,2279614.947
2.55,2108.878936,84915.24476,161371.3719,200568.9301,413485.9959,756075.7933,351417.2536,756078.9755,1101624.384,507779.0424,996891.1834,1662571.133,685249.4787,1265521.035,2280244.264
2.6,2108.878936,84936.486,161403.3883,200601.1209,413554.7071,756189.4235,351465.8247,756191.5881,1101624.384,507864.31,997124.4254,1663001.236,685364.1207,1265853.819,2280835.331
2.65,2108.878936,84956.24808,161432.8427,200630.7243,413618.2401,756294.0431,351510.4538,756295.2779,1101624.384,507943.2698,997342.7023,1663405.583,685470.1715,1266166.99,2281390.854
2.7,2108.878936,84974.64569,161459.9569,200657.966,413677.0249,756390.4314,351551.4885,756390.8161,1101624.384,508016.4383,997547.111,1663785.97,685568.3414,1266461.901,2281913.318
2.75,2108.878936,84991.78363,161484.9314,200683.0502,413731.4521,756479.2939,351589.2432,756478.9013,1101624.384,508084.2851,997738.6572,1664144.047,685659.2758,1266739.794,2282405.008
2.8,2108.878936,85007.75772,161507.9483,200706.1622,413781.877,756561.2701,351624.0021,756560.1664,1101624.384,508147.2379,997918.2634,1664481.335,685743.5621,1267001.817,2282868.025
2.85,2108.878936,85022.65569,161529.1731,200727.4696,413828.6229,756636.9405,351656.0228,756635.1861,1101624.384,508205.6863,998086.7772,1664799.234,685821.7349,1267249.025,2283304.306
2.9,2108.878936,85036.55792,161548.756,200747.1249,413871.9845,756706.8319,351685.5388,756704.4819,1101624.384,508259.9857,998244.9778,1665099.034,685894.2816,1267482.394,2283715.638
2.95,2108.878936,85049.53814,161566.8336,200765.2664,413912.2305,756771.4237,351712.7622,756768.5283,1101624.384,508310.4605,998393.5825,1665381.929,685961.6468,1267702.824,2284103.67
3,2108.878936,85061.66403,161583.5303,200782.02,413949.6062,756831.1516,351737.8853,756827.7568,1101624.384,508357.4072,998533.252,1665649.022,686024.2365,1267911.15,2284469.927
3.05,2108.878936,85072.99776,161598.9593,200797.5003,413984.3357,756886.4127,351761.0832,756882.5603,1101624.384,508401.0971,998664.5955,1665901.331,686082.4219,1268108.141,2284815.817
3.1,2108.878936,85083.59649,161613.2241,200811.8115,414016.624,756937.5688,351782.5152,756933.2971,1101624.384,508441.7784,998788.1755,1666139.801,686136.5424,1268294.514,2285142.646
3.15,2108.878936,85093.51283,161626.4187,200825.0488,414046.6586,756984.9498,351802.3261,756980.2938,1101624.384,508479.6786,998904.5113,1666365.308,686186.9088,1268470.932,2285451.624
3.2,2108.878936,85102.79524,161638.6294,200837.299,414074.6113,757028.8572,351820.6482,757023.8488,1101624.384,508515.0063,999014.0832,1666578.662,686233.8059,1268638.009,2285743.871
3.25,2108.878936,85111.48836,161649.9345,200848.6411,414100.6397,757069.5659,351837.602,757064.2345,1101624.384,508547.9527,999117.3355,1666780.618,686277.4947,1268796.318,2286020.429
3.3,2108.878936,85119.63338,161660.4061,200859.1475,414124.8881,757107.3278,351853.2973,757101.7001,1101624.384,508578.6939,999214.6796,1666971.876,686318.215,1268946.389,2286282.264
3.35,2108.878936,85127.26832,161670.1099,200868.8844,414147.4893,757142.373,351867.8348,757136.4734,1101624.384,508607.3912,999306.4969,1667153.085,686356.1868,1269088.718,2286530.276
3.4,2108.878936,85134.42829,161679.1059,200877.9123,414168.5652,757174.9122,351881.3061,757168.7634,1101624.384,508634.1934,999393.141,1667324.853,686391.6124,1269223.764,2286765.301
3.45,2108.878936,85141.14574,161687.4495,200886.2866,414188.2276,757205.1387,351893.7953,757198.761,1101624.384,508659.2372,999474.94,1667487.744,686424.6778,1269351.958,2286988.118
3.5,2108.878936,85147.45069,161695.191,200894.0579,414206.5798,757233.2294,351905.3793,757226.6418,1101624.384,508682.6487,999552.1989,1667642.282,686455.5542,1269473.699,2287199.452
3.55,2108.878936,85153.37092,161702.3769,200901.2729,414223.7165,757259.3468,351916.1284,757252.5664,1101624.384,508704.5438,999625.2008,1667788.958,686484.3993,1269589.361,2287399.979
3.6,2108.878936,85158.93215,161709.0496,200907.9741,414239.7253,757283.6399,351926.1072,757276.6828,1101624.384,508725.0298,999694.2093,1667928.23,686511.3584,1269699.292,2287590.33
3.65,2108.878936,85164.15823,161715.2482,200914.2007,414254.6866,757306.2459,351935.3747,757299.1264,1101624.384,508744.2055,999759.4696,1668060.524,686536.5654,1269803.819,2287771.096
3.7,2108.878936,85169.07125,161721.0086,200919.9887,414268.6749,757327.2905,351943.9854,757320.022,1101624.384,508762.1622,999821.21,1668186.24,686560.1441,1269903.246,2287942.826
3.75,2108.878936,85173.69174,161726.3638,200925.371,414281.7587,757346.8896,351951.9889,757339.4842,1101624.384,508778.9842,999879.6434,1668305.751,686582.2086,1269997.858,2288106.035
3.8,2108.878936,85178.03871,161731.3441,200930.3781,414294.0014,757365.1498,351959.4312,757357.6188,1101624.384,508794.7496,999934.968,1668419.407,686602.8643,1270087.923,2288261.204
3.85,2108.878936,85182.12987,161735.9774,200935.0379,414305.4615,757382.1691,351966.3543,757374.5227,1101624.384,508809.5304,999987.369,1668527.533,686622.2088,1270173.691,2288408.784
3.9,2108.878936,85185.98164,161740.2893,200939.3761,414316.1931,757398.0379,351972.7969,757390.2857,1101624.384,508823.3936,1000037.019,1668630.437,686640.3322,1270255.396,2288549.196
3.95,2108.878936,85189.60929,161744.3037,200943.4164,414326.2464,757412.8397,351978.7946,757404.9902,1101624.384,508836.401,1000084.08,1668728.405,686657.318,1270333.257,2288682.837
