EDP Range,SLF Case 1,SLF Case 2,SLF Case 3
6.45,385982.0550524755,854486.8941013564,1468516.34946453
6.5,385982.0550524755,854486.8941013564,1468516.34946453
6.550000000000001,385982.0550524755,854486.8941013564,1468516.34946453
6.6000000000000005,385982.0550524755,854486.8941013564,1468516.34946453
6.65,385982.0550524755,854486.8941013564,1468516.34946453
6.7,385982.0550524755,854486.8941013564,1468516.34946453
6.75,385982.0550524755,854486.8941013564,1468516.34946453
6.800000000000001,385982.0550524755,854486.8941013564,1468516.34946453
6.8500000000000005,385982.0550524755,854486.8941013564,1468516.34946453
6.9,385982.0550524755,854486.8941013564,1468516.34946453
6.95,385982.0550524755,854486.8941013564,1468516.34946453
7.0,385982.0550524755,854486.8941013564,1468516.34946453
7.050000000000001,385982.0550524755,854486.8941013564,1468516.34946453
7.1000000000000005,385982.0550524755,854486.8941013564,1468516.34946453
7.15,385982.0550524755,854486.8941013564,1468516.34946453
7.2,385982.0550524755,854486.8941013564,1468516.34946453
7.25,385982.0550524755,854486.8941013564,1468516.34946453
7.300000000000001,385982.0550524755,854486.8941013564,1468516.34946453
7.3500000000000005,385982.0550524755,854486.8941013564,1468516.34946453
7.4,385982.0550524755,854486.8941013564,1468516.34946453
7.45,385982.0550524755,854486.8941013564,1468516.34946453
7.5,385982.0550524755,854486.8941013564,1468516.34946453
7.550000000000001,385982.0550524755,854486.8941013564,1468516.34946453
7.6000000000000005,385982.0550524755,854486.8941013564,1468516.34946453
7.65,385982.0550524755,854486.8941013564,1468516.34946453
7.7,385982.0550524755,854486.8941013564,1468516.34946453
7.75,385982.0550524755,854486.8941013564,1468516.34946453
7.800000000000001,385982.0550524755,854486.8941013564,1468516.34946453
7.8500000000000005,385982.0550524755,854486.8941013564,1468516.34946453
7.9,385982.0550524755,854486.8941013564,1468516.34946453
7.95,385982.0550524755,854486.8941013564,1468516.34946453
8.0,385982.0550524755,854486.8941013564,1468516.34946453
8.05,385982.0550524755,854486.8941013564,1468516.34946453
8.1,385982.0550524755,854486.8941013564,1468516.34946453
8.15,385982.0550524755,854486.8941013564,1468516.34946453
8.200000000000001,385982.0550524755,854486.8941013564,1468516.34946453
8.25,385982.0550524755,854486.8941013564,1468516.34946453
8.3,385982.0550524755,854486.8941013564,1468516.34946453
8.35,385982.0550524755,854486.8941013564,1468516.34946453
8.4,385982.0550524755,854486.8941013564,1468516.34946453
8.450000000000001,385982.0550524755,854486.8941013564,1468516.34946453
8.5,385982.0550524755,854486.8941013564,1468516.34946453
8.55,385982.0550524755,854486.8941013564,1468516.34946453
8.6,385982.0550524755,854486.8941013564,1468516.34946453
8.65,385982.0550524755,854486.8941013564,1468516.34946453
8.700000000000001,385982.0550524755,854486.8941013564,1468516.34946453
8.75,385982.0550524755,854486.8941013564,1468516.34946453
8.8,385982.0550524755,854486.8941013564,1468516.34946453
8.85,385982.0550524755,854486.8941013564,1468516.34946453
8.9,385982.0550524755,854486.8941013564,1468516.34946453
8.950000000000001,385982.0550524755,854486.8941013564,1468516.34946453
