EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9
0.114,278810.65438086685,278649.2641954951,278745.997583863,557574.0905351312,557395.7367835992,557358.813580967,836041.9590985768,836548.8382281933,836442.2823730749
0.115,279523.9645263556,279366.9914359428,279461.03274918953,559003.4085955571,558827.9252224842,558792.283000485,838190.7194241249,838685.4315751914,838583.40463366
0.116,280207.3598027905,280054.77443427115,280146.1662556084,560372.7434159091,560200.2897942127,560165.8712056985,840249.7762496454,840732.2919158647,840634.6370423347
0.117,280861.7884405737,280713.5561841749,280802.3428365939,561683.9962503084,561514.7178171817,561481.4668616394,842221.9578816785,842692.2685396866,842598.8309881691
0.11800000000000001,281488.18593856914,281344.2672415904,281430.49462902505,562939.042955383,562773.0715545566,562740.9336234808,844110.0551078329,844568.1723097563,844478.7996282437
0.11900000000000001,282087.47418219916,281947.8248422134,282031.5402943077,564139.7322085096,563977.186455221,563946.1083709412,845916.8185625507,846362.773016089,846277.3152239807
0.12,282660.560636188,282525.1320927777,282606.38421352574,565287.8838762816,565128.869542438,565098.799590674,847644.9563139615,848078.7969536387,847997.1067026736
0.121,283208.337609929,283077.07723412255,283155.9157546232,566385.2875291675,566229.8979462438,566200.7859026702,849297.1316658782,849718.9247189497,849640.8574381393
0.122,283731.6815933566,283604.5329739809,283681.00860952307,567433.701098124,567282.0175754179,567253.8147265203,850875.9611687043,851285.7892190365,851211.2032441169
0.123,284231.4526611215,284108.35588733875,284182.52019900904,568434.8496687528,568286.9419246955,568259.6010832062,852384.0128327761,852781.9738858414,852710.7305737863
0.124,284708.493942792,284589.38588214153,284661.291143119,569390.4244084478,569246.3510127516,569219.8265279533,853823.8045374396,854210.0110894016,854141.9749185554
0.125,285163.63115674595,285048.44572806184,285118.14479474275,570302.081621849,570161.89044636,570136.1382095469,855197.8026289932,855572.3807426709,855507.4193990751
0.126,285597.67220536526,285486.3406459943,285553.88683406584,571171.4419298137,571035.1706060345,571010.1480514181,856508.420700465,856871.5090907952,856809.4935412944
0.127,286011.40682910685,285903.8579559,285969.3049214589,572000.0895670386,571867.7659483745,571843.4320497214,857758.0185460825,858109.7676775132,858050.5722302353
0.128,286405.6063169929,286301.76678059535,286365.1684063861,572789.5717933994,572661.2144202833,572637.5296835667,858948.9012832014,859289.4724812735,859232.9748340853
0.129,286781.02327104233,286680.81780305575,286742.228089883,573541.3984140329,573417.0169801792,573393.9434325262,860083.318634395,860412.883213593,860358.964491134
0.13,287138.39142215694,287041.7430747954,287101.216038144,574257.0414031617,574136.6372213049,574114.1383965117,861163.4643623772,861482.2027721507,861430.7475520511
0.131,287478.42549496907,287385.255872878,287442.84544475755,574937.9346266553,574821.5010922238,574799.5420131098,862191.4758504168,862499.5768411027,862450.4731699881
0.132,287801.82111916726,287712.0506031192,287767.8105391292,575585.4736583297,575472.9967096128,575451.5438674754,863169.4338209197,863467.0936311246,863420.2330310073
0.133,288109.2547848263,288022.8027470521,288076.78653865034,576201.0156850133,576092.4742584748,576071.4955899017,864099.3621848878,864386.783751725,864342.0612173744
0.134,288401.38383928983,288318.1688502475,288370.429642185,576785.8794954452,576681.2459749421,576660.7108362295,864983.2280150279,865260.6202084366,865217.9341963166
0.135,288678.8465231812,288598.7865496023,288649.3770624769,577341.345548126,577240.586206887,577220.4653463044,865822.9416353537,866090.5185175755,866049.7709269224
0.136,288942.26204314956,288865.2746372459,288914.24709511024,577868.6561133056,577771.7315476233,577751.9970757572,866620.3568202262,866878.336931356,866839.4330779657
0.137,289192.23067899904,289118.23315874755,289165.6392216952,578369.0154843711,578275.8810380573,578256.5063964576,867377.2710958862,867625.8767662719,867588.7253495466
0.138,289429.3339228908,289358.2435433501,289404.13424499246,578843.5902539815,578754.1964327305,578735.1563610733,868095.4261376617,868334.8828277817,868299.3958915769
0.139,289654.1346483581,289585.8687640047,289630.2944537404,579293.5096503999,579207.8025252924,579189.0730272661,868776.5082561732,869007.0439244893,868973.1368122848
0.14,289867.17730692716,289801.65352503007,289844.66381499736,579719.8659295713,579637.7875290453,579619.3458371543,869422.148966019,869643.9934651664,869611.58477007
0.14100000000000001,290068.98815019196,290006.1244752743,290047.768191871,580123.7148186145,580045.2035083114,580027.0280477848,870033.9256305796,870247.310132141,870216.3216422171
0.14200000000000002,290260.0754752534,290199.7904447178,290240.1155845629,580506.0760065137,580431.0668564942,580413.1372084743,870613.3621767642,870818.5186247514,870788.8752641475
0.14300000000000002,290440.92989149544,290383.14270251495,290422.1963927199,580867.9336779237,580796.3588168233,580778.6556810032,871161.9298737025,871359.0904667634,871330.7202330931
0.14400000000000002,290612.0246067353,290556.65523453604,290594.48369714926,581210.2370861324,581142.0260419068,581124.5311987726,871681.0481695761,871870.4448718411,871843.278770259
0.145,290773.81573085516,290720.7850385388,290757.43355901825,581533.9011613616,581468.9811883433,581451.6774611683,872172.0855809865,872353.9496613701,872327.921635759
0.146,290926.7425950902,290875.9724351635,290911.4853347324,581839.8071507281,581778.1035427832,581760.9747595135,872636.3606294539,872810.9222291415,872785.9690908097
0.147,291071.22808522,291022.6413930177,291057.0620047503,582128.8032863284,582070.2396759698,582053.2706311285,873075.1428198561,873242.630547619,873218.6919018914
0.148,291207.67898698157,291161.1998661851,291194.57051467046,582401.705478054,582346.2041214287,582329.3805381586,873489.653655822,873650.2942107315,873627.3123817899
0.149,291336.48634209664,291292.0401425646,291324.4021269918,582659.2980278956,582606.7800756196,582590.0885679747,873881.0676873123,874035.0855083494,874013.0054626693
0.15,291458.025813377,291415.53920151794,291446.9327820254,582902.3343626357,582852.7201165075,582836.1481520945,874250.5135858303,874398.1305278301,874376.8997965306
0.151,291572.6580574469,291532.0590793737,291562.5234665061,583131.5377819828,583084.7469376537,583068.2828007155,874599.0752429267,874740.5102782338,874720.0788786465
0.152,291680.72910369415,291641.9472414116,291671.5205885238,583347.602219344,583303.5540950713,583287.1868500996,874927.7928878723,875063.2618330367,875043.5821897766
0.153,291782.5707381344,291745.5369590162,291774.2563574702,583551.1930125818,583509.8067642344,583493.526220184,875237.6642205907,875367.3794873868,875348.4063531895
0.154,291878.50089094543,291843.1476907665,291871.0491677614,583742.9476822464,583704.1425047714,583687.9391799481,875529.6455561531,875653.8159261658,875635.5063027383
0.155,291968.8240265007,291935.0854662935,291962.2039851757,583923.4767149191,583887.172030512,583871.0371181916,875804.6529773492,875923.4833993375,875905.7964584519
0.156,292053.83153479977,292021.6432718081,292048.01273470774,584093.3643494422,584059.4799826995,584043.4053175361,876063.5634920541,876177.2549012742,876160.1519063138
0.157,292133.80212326534,292103.10143627087,292128.7546889138,584253.1693639559,584221.6257043135,584205.6037295798,876307.2161923187,876415.9653509638,876399.4095791181
0.158,292209.00220794254,292179.728017241,292204.69685578835,584403.4258617931,584374.1440135832,584358.1677492866,876536.4134123028,876640.4127702019,876624.3694354862
0.159,292279.6863032024,292251.7791855066,292276.09436527704,584544.6440544226,584517.5459749013,584501.6089868075,876751.921882379,876851.3594570782,876835.7956343412
0.16,292346.0974091184,292319.4996076632,292343.19085359643,584677.3110397584,584652.3196654784,584636.4160350732,876954.4738769107,877049.5331522555,877034.417702321
0.161,292408.4673957446,292383.1228258694,292406.21884459263,584801.8915742799,584778.9309361995,584763.0552316091,877144.7683534073,877235.6281957359,877220.9316918091
0.162,292467.017383589,292442.8716340666,292465.40012743097,584918.8288375355,584897.8241652644,584881.9714131544,877323.4720809307,877410.3066719878,877396.0013274464
0.163,292521.9581196305,292498.9584500122,292520.9461299684,585028.545187714,585009.4230033143,584993.588661779,877491.2207558067,877574.1995414884,877560.2591391606
0.164,292573.4903482889,292551.5856825272,292573.05828721565,585131.4429070911,585114.1311088565,585098.3110413058,877648.6201028608,877727.9077569087,877714.3075799284
0.165,292621.8051768099,292600.94609341817,292621.9284043523,585227.9049362639,585212.3328729075,585196.5233229568,877796.2469605636,877872.003362329,877858.720126652
0.166,292667.08443458105,292647.2231535813,292667.73901380796,585318.2955961959,585304.3941318812,585288.5916992445,877934.6503486235,878007.0305740421,877994.0423626836
0.167,292709.5010259452,292690.5913928508,292710.6637259759,585402.961297197,585390.66286785,585374.8644852313,878064.3525167194,878133.5068416417,878120.7930406978
0.168,292749.2192761258,292731.21674319793,292750.86757317086,585482.2312340604,585471.4698953984,585455.672806376,878185.8499732044,878251.9238882486,878239.4651247453
0.169,292786.39526992594,292769.2568749363,292788.5073464905,585556.4180666703,585547.1295343852,585531.331272278,878299.6144927535,878362.7487288638,878350.5268104697
0.17,292821.1771829058,292804.8615256294,292823.73192528257,585625.8185854882,585617.9402680156,585602.1386357192,878406.0941020552,878466.4246659694,878454.4225225999
0.171,292853.70560478576,292838.1728214417,292856.6825989629,585690.7143614036,585684.1853857059,585668.3784364839,878505.7140427748,878563.3722616236,878551.5738889568
0.17200000000000001,292884.1138548626,292869.32559070963,292887.49338096625,585751.37237952,585746.1336103057,585730.319629518,878598.8777111296,878653.9902854185,878642.3806903309
0.17300000000000001,292912.52828926116,292898.4476695503,292916.2913146516,585808.04565652,585804.0397093142,585788.2171970638,878685.9675735349,878738.6566377764,878727.221785707
0.17400000000000002,292939.06859988347,292925.6601993573,292943.1967710181,585860.9738413262,585858.1450897973,585842.3127444743,878767.3460578765,878817.7292481745,878806.456012409
0.17500000000000002,292963.8481049454,292951.07791606936,292968.3237381186,585910.3837988398,585908.6783767806,585892.8350794811,878843.3564200717,878891.5469479765,878880.4230608469
0.176,292986.97403102665,292974.80943112477,292991.7801020926,585956.4901766025,585955.8559749523,585940.0007747483,878914.3235856674,878960.4303176554,878949.444323638
0.177,293008.54778658465,292996.9575040476,293013.66791976575,585999.4959542879,585999.88261357,585984.0147136048,878980.5549663136,879024.6825082672,879013.8237189605
0.178,293028.66522691475,293017.6193066353,293034.0836827915,586039.592975977,586040.9518745168,586025.0706189019,879042.3412510324,879084.5900371249,879073.8484880816
0.179,293047.4169105585,293036.88667874475,293053.11857333645,586076.9624652322,586079.2467035064,586063.3515649913,879099.9571722721,879140.423557693,879129.7899670798
0.18,293064.88834719034,293054.8463756958,293070.8587113317,586111.7755230219,586114.9399044788,586099.0304728681,879153.6622468142,879192.4386037934,879181.904332844
0.181,293081.1602370311,293071.580307333,293087.38539333566,586144.1936085969,586148.1946172721,586132.270588562,879203.7014916559,879240.8763082785,879230.4333235059
0.182,293096.3087018573,293087.16576880694,293102.7753230741,586174.369003458,586179.1647786992,586163.2259449051,879250.3061150567,879285.9640963842,879275.6049335131
0.183,293110.4055076929,293101.6756631534,293117.1008337377,586202.4452585876,586207.9955671867,586192.0418068357,879293.694182987,879327.9163540304,879317.6340836089
0.184,293123.5182792877,293115.1787157649,293130.43010213826,586228.5576251573,586234.8238311742,586218.8551004321,879334.0712612696,879366.9350713852,879356.7232660335
0.185,293135.7107064986,293127.7396808665,293142.8273548357,586252.8334689434,586259.7785014939,586243.7948259017,879371.6310337442,879403.2104620542,879393.0631653044
0.186,293147.0427427067,293139.4195401172,293154.35306636296,586275.3926687209,586282.9809879848,586266.9824547757,879406.5558968316,879436.9215582908,879426.833254973
0.187,293157.5707954111,293150.27569347445,293165.06414968846,586296.3479989183,586304.5455606129,586288.5323115818,879439.0175309033,879468.2367826666,879458.2023707916
0.188,293167.3479091545,293160.36214246624,293175.014139064,586315.8054968466,586324.5797153945,586308.551940295,879469.1774489005,879497.3144966646,879487.3292607572
0.189,293176.4239409417,293169.72966602794,293184.2533654182,586333.8648148279,586343.1845254358,586327.142455877,879497.1875226672,879524.303526689,879514.3631125214
0.19,293184.8457283222,293178.4259890663,293192.8291244601,586350.6195575674,586360.4549774196,586344.3988812383,879523.190487494,879549.3436680097,879539.4440586865
0.191,293192.6572503136,293186.49594392284,293200.7858376687,586366.1576051259,586376.4802938832,586360.4104699637,879547.3204253843,879572.5661671757,879562.7036605201
0.192,293199.89978134865,293193.98162491154,293208.1652063451,586380.5614218625,586391.3442416441,586375.2610151629,879569.7032275761,879594.0941834527,879584.2653706456
0.193,293206.6120384335,293200.92253611464,293215.0063589134,586393.9083517228,586405.1254267364,586389.0291448083,879590.4570368621,879614.0432298518,879604.2449752726
0.194,293212.8303217084,293207.35573262064,293221.3459916573,586406.2709002622,586417.8975762351,586401.788603935,879609.6926702711,879632.5215943278,879622.7510165493
0.195,293218.58864860475,293213.3159553941,293227.2185030829,586417.7170037908,586429.7298073451,586413.6085240858,879627.5140226722,879649.6307417316,879639.8851956212
0.196,293223.9188817941,293218.83575996803,293232.6561221016,586428.3102860379,586440.686884139,586424.5536803814,879644.0184518804,879665.4656971128,879655.7427569894
0.197,293228.85085112735,293223.94563915126,293237.689030226,586438.1103027335,586450.8294623327,586434.6847366075,879659.297145838,879680.1154109637,879670.4128547665
0.198,293233.4124697605,293228.6741399447,293242.3454779758,586447.1727745042,586460.2143224829,586444.0584787048,879673.4354724535,879693.6631070039,879683.9789014256
0.199,293237.62984466593,293233.04797485925,293246.6518956861,586455.549808481,586468.8945919982,586452.728037052,879686.5133126777,879706.1866131036,879696.518899641
0.2,293241.52738172445,293237.0921278287,293250.63299891487,586463.2901090196,586476.919956349,586460.74309793,879698.6053773981,879717.7586759339,879708.1057578156
0.201,293245.1278855953,293240.82995490945,293254.3118886408,586470.4391779209,586484.336859862,586468.150104552,879709.7815087223,879728.4472599399,879718.8075898847
0.202,293248.4526545565,293244.28327995766,293257.7101464446,586477.0395045484,586491.1886964801,586474.9924480432,879720.1069662275,879738.3158312163,879728.6879999829
0.203,293251.5215705074,293247.4724854713,293260.84792486165,586483.1307462236,586497.5159908659,586481.3106487467,879729.6426987353,879747.4236268654,879737.8063525498
0.20400000000000001,293254.3531843229,293250.41659878456,293263.74403309426,586488.749899282,586503.3565702214,586487.1425282308,879738.4456021722,879755.8259104035,879746.218028449
0.20500000000000002,293256.96479674376,293253.1333737963,293266.41601826664,586493.9314611636,586508.7457271897,586492.5233723649,879746.5687640647,879763.5742137787,879753.9746676565
0.20600000000000002,293259.37253498693,293255.63936841296,293268.88024240313,586498.7075839045,586513.7163742009,586497.4860858234,879754.0616952071,879770.7165665465,879761.1243990724
0.20700000000000002,293261.5914252534,293257.95001788344,293271.1519553081,586503.108219391,586518.2991896147,586502.0613383751,879760.9705490315,879777.2977127432,879767.7120579954
0.20800000000000002,293263.6354613091,293260.0797041973,293273.2453635195,586507.1612567274,586522.5227560056,586506.2777033024,879767.3383291994,879783.3593159841,879773.7793917852
0.209,293265.5176693101,293262.0418217167,293275.17369550664,586510.8926520613,586526.4136909303,586510.1617882911,879773.2050859196,879788.9401532986,879779.365254233
0.21,293267.2501690373,293263.84883920575,293276.9492632769,586514.3265512034,586529.9967705053,586513.738359119,879778.6081014874,879794.0762982041,879784.5057891366
0.211,293268.84423170454,293265.51235841936,293278.5835205527,586517.485405365,586533.295046119,586517.0304564697,879783.5820655259,879798.8012935083,879789.2346035755
0.212,293270.31033449556,293267.04316940653,293280.08711767575,586520.3900803349,586536.3299545877,586520.0595061798,879788.1592403983,879803.1463143106,879793.5829313546
0.213,293271.6582119852,293268.4513026805,293281.4699533885,586523.0599593977,586539.121422062,586522.8454232275,879792.3696172439,879807.1403216645,879797.5797870844
0.214,293272.8969045907,293269.74607840343,293282.74122364377,586525.5130402977,586541.6879619758,586525.4067097567,879796.241063082,879810.8102073456,879801.2521113374
0.215,293274.03480419796,293270.9361527271,293283.90946758137,586527.7660265323,586544.0467673247,586527.7605474209,879799.7994594066,879814.1809301575,879804.6249073198
0.216,293275.0796971011,293272.02956142876,293284.9826108127,586529.8344132568,586546.2137975482,586529.9228843255,879803.0688326891,879817.2756441899,879807.7213694713
