EDP Range,SLF Case 1,SLF Case 2,SLF Case 3
0.14100000000000001,224751.9271745772,492277.03446600906,857438.7147147293
0.14200000000000002,224751.92746168553,492277.03495269537,857438.7153394029
0.14300000000000002,224751.92768714135,492277.03533298685,857438.7158241452
0.14400000000000002,224751.92786392034,492277.0356296861,857438.7161996948
0.145,224751.92800232617,492277.03586081264,857438.7164901794
0.146,224751.92811052772,492277.03604058275,857438.7167145051
0.147,224751.92819499117,492277.03618019394,857438.7168874614
0.148,224751.92826082694,492277.0362884519,857438.7170205973
0.149,224751.92831206744,492277.0363722698,857438.7171229167
0.15,224751.92835188948,492277.03643706633,857438.7172014266
0.151,224751.92838279204,492277.0364870819,857438.7172615709
0.152,224751.92840673766,492277.0365256296,857438.7173075724
0.153,224751.92842526533,492277.03655529383,857438.7173427003
0.154,224751.92843957985,492277.03657808725,857438.7173694824
0.155,224751.92845062312,492277.0365955749,857438.7173898688
0.156,224751.92845913026,492277.03660897136,857438.7174053624
0.157,224751.92846567408,492277.0366192183,857438.7174171185
0.158,224751.92847070043,492277.0366270445,857438.7174260247
0.159,224751.92847455552,492277.03663301276,857438.7174327611
0.16,224751.928477508,492277.0366375573,857438.7174378483
0.161,224751.92847976595,492277.03664101264,857438.717441684
0.162,224751.92848149018,492277.03664363583,857438.7174445716
0.163,224751.928482805,492277.0366456242,857438.7174467419
0.164,224751.92848380614,492277.0366471293,857438.7174483704
0.165,224751.92848456735,492277.0366482668,857438.7174495907
0.166,224751.9284851453,492277.03664912516,857438.7174505034
0.167,224751.92848558343,492277.03664977197,857438.7174511852
0.168,224751.92848591515,492277.0366502587,857438.7174516936
0.169,224751.92848616594,492277.03665062424,857438.7174520722
0.17,224751.9284863552,492277.0366508986,857438.7174523536
0.171,224751.92848649793,492277.03665110405,857438.7174525624
0.17200000000000001,224751.92848660532,492277.0366512577,857438.7174527171
0.17300000000000001,224751.92848668603,492277.03665137244,857438.7174528318
0.17400000000000002,224751.92848674665,492277.036651458,857438.7174529162
0.17500000000000002,224751.92848679205,492277.03665152175,857438.7174529787
0.176,224751.92848682604,492277.0366515691,857438.7174530247
0.177,224751.92848685142,492277.0366516043,857438.7174530585
0.178,224751.9284868704,492277.03665163036,857438.7174530833
0.179,224751.9284868845,492277.0366516496,857438.7174531013
0.18,224751.92848689505,492277.03665166395,857438.7174531147
0.181,224751.92848690288,492277.0366516745,857438.7174531245
0.182,224751.92848690867,492277.0366516823,857438.7174531316
0.183,224751.92848691295,492277.036651688,857438.7174531367
0.184,224751.92848691615,492277.0366516922,857438.7174531405
0.185,224751.9284869185,492277.03665169526,857438.7174531432
0.186,224751.92848692022,492277.0366516975,857438.7174531452
0.187,224751.92848692148,492277.0366516991,857438.7174531466
0.188,224751.92848692244,492277.0366517003,857438.7174531476
0.189,224751.92848692313,492277.0366517012,857438.7174531484
0.19,224751.92848692363,492277.03665170184,857438.717453149
0.191,224751.928486924,492277.03665170236,857438.7174531494
0.192,224751.92848692427,492277.0366517027,857438.7174531496
0.193,224751.92848692447,492277.0366517029,857438.7174531498
0.194,224751.92848692462,492277.0366517031,857438.71745315
0.195,224751.92848692473,492277.03665170324,857438.7174531501
0.196,224751.9284869248,492277.03665170335,857438.7174531502
